titulo,sinopse,direcao,ano,duracao,uf,link_filme,link_base,codigo,obs,fonte,cartaz,raspagem
3 Cantos do Rio,"O Rio de Janeiro através da música de Aldir Blanc, Edson Maciel, Franklin da Flauta, Joyce e Luiz Claudio Ramos.",Tânia Quaresma,,22,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4273,4273,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:39
A Chegada de Rui Barbosa Quando Voltava ao Rio,,Diomedes Gramacho,,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2918,2918,,lmografia Baiana (http://www.filmografiabaiana.com.br/),,29/08/2023 11:58:39
A terra de Sapaim,"No Xingu, uma apresentação do Balé Stagium e da música de Egberto Gismonti para representantes de nove tribos indígenas.",Tânia Quaresma,,15,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4272,4272,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:40
Agreste,"Hermeto Paschoal homenageia o Nordeste, sua região, com uma suíte.",Tânia Quaresma,,16,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4266,4266,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:40
Baião do acordar,"A música de Novelli, nordestino que encontrou seu lugar no sul do país.",Tânia Quaresma,,8,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4267,4267,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:40
Caminhos do Rio-Mar,"A grandiosidade do Rio Amazonas sob a inspiração da última grande obra de Villa-Lobos, Floresta Amazônica.",Tânia Quaresma,,14,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4268,4268,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:41
Casa do Senhor Halifa,,João Stamato,,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3923,3923,,Cinemateca Brasileira (http://cinemateca.gov.br); Complete Index to World Film (http://www.citwf.com/),,29/08/2023 11:58:41
Cidade de Deus - 10 Anos Depois,"Cidade de Deus – 10 anos depois investiga o destino dos atores que participaram do premiado filme, dirigido por Fernando Meirelles e Katia Lund. Este documentário mostra os diferentes resultados, fruto do sucesso mundial do filme Cidade de Deus, na vida de cada um deles. Será que os atores estavam preparados para o sucesso do filme? Será que a condição social de alguns deles foi mais forte do que a oportunidade que tiveram?",Cavi Borges,,90,,https://www.youtube.com/watch?v=ZqgOjH7GfZE,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4465,4465,,Site Ancine (ancine.gov.br),https://admin.documentariobrasileiro.com.br/app/resources/cartazes/4465.jpg,29/08/2023 11:58:41
Credo,Um trocadilho satírico ao som de “Creio em ti”.,Aloysio Raulino,,4,São Paulo,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/122,122,,Site Forumdoc BH (forumdoc.org.br),,29/08/2023 11:58:42
Funk Rio,O programa fala de alguns dos novos direitos da mulher garantidos na nova constituição do Brasil. Nas entrevistas aparece a necessidade dessas leis virarem uma realidade através das lutas das mulheres.,,,46,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/1746,1746,,Site Curtagora (curtagora.com),,29/08/2023 11:58:42
Herança das Senzalas,A Bahia com a música de Mestre Di Mola.,Tânia Quaresma,,11,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4269,4269,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:43
Minuano,As influências alemã e italiana na formação cultural do Rio Grande do Sul com música de Waltel Blanco.,Tânia Quaresma,,15,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4270,4270,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:43
Nos muros recortados,Um ensaio sobre a arte de rua de São Paulo nos anos 80.,Aloysio Raulino,,15,São Paulo,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/112,112,,Site Forumdoc BH (forumdoc.org.br),,29/08/2023 11:58:43
Novos tempos,A música de Marcos Rezende em Brasília.,Tânia Quaresma,,15,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4271,4271,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:44
Sonhos de Crianças,Registra as várias faces de uma realidade distante dos direitos encontrados no Estatuto da criança e do adolescente e próxima da situação de exclusão social que caracteriza adultos e crianças na agroindústria brasileira.,,,17,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/1791,1791,,Site Curtagora (curtagora.com),,29/08/2023 11:58:44
Um Dia Feliz,"O vídeo trata da questão do preconceito racial a partir do cotidiano das pessoas, mostrando depoimentos e reflexões de integrantes de diversos grupos do movimento negro",,,11,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/1802,1802,,Site Curtagora (curtagora.com),,29/08/2023 11:58:44
Viagem ao ninho da terra,O Pantanal Matogrossense e a música de Villa-Lobos.,Tânia Quaresma,,12,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4274,4274,,Quase Catálogo 1 - Realizadoras de Cinema no Brasil,,29/08/2023 11:58:44
Vida Severina,"Vida Severina, com 52 minutos de duração (e uma versão de 75 minutos), é um road-movie que segue viagem por diversas paisagens do sertão e do semi-árido nordestino dos estados do Maranhão, Piauí e Paraíba, detendo-se em algumas localidades e em personagens. A viagem termina no Rio de Janeiro, na favela da Rocinha, maior reduto dos nordestinos na cidade. O documentário mostra a vida dos brasileiros que residem no interior do país e aborda suas principais questões: o cotidiano, o trabalho, o combate à fome, o difícil acesso à terra, a convivência com a seca, a falta de água, o desemprego, a busca de uma vida melhor nas pequenas cidades próximas e nos centros urbanos.",Theresa Jessouroun,,52,Rio de Janeiro,https://www.youtube.com/watch?v=-c7-vjQ-tdM,http://documentariobrasileiro.com.br/catalogo/filme/codigo/4325,4325,,http://www.kinofilmes.com/vida-sever,,29/08/2023 11:58:45
Inauguração da Avenida Rio Branco,,Antônio Leal,1903,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3201,3201,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 11:58:45
Inauguração da Fonte Ramos Pinto,"Inauguração da fonte Ramos Pinto no Largo da Glória, Rio de Janeiro.",Antônio Leal,1905,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3179,3179,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:45
Primeiros Documentários do Novo Rio de Janeiro,,Antônio Leal,1905,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3666,3666,,Cinemateca Brasileira (http://cinemateca.gov.br); IMDb (http://www.imdb.com/),,29/08/2023 11:58:46
Tomadas da Avenida Central,"Vistas da Avenida Central, Rio de Janeiro.",Antônio Leal,1905,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3178,3178,,Cinemateca Brasileira (http://cinemateca.gov.br); IMDb (http://www.imdb.com/),,29/08/2023 11:58:46
Viagem de Trem Serra Abaixo,,Annibal Requião,1905,,Paraná,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/2861,2861,,Cinemateca Brasileira (http://www.cinemateca.gov.br),,29/08/2023 11:58:47
Afonso Pena no Paraná,,Antônio Leal,1906,,,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3667,3667,,IMDb (http://www.imdb.com/); CITWF (http://www.citwf.com/),,29/08/2023 11:58:47
Aspectos do Rio de Janeiro,,Antônio Leal,1906,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3202,3202,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 11:58:47
Atividades do Governo Afonso Pena,,Antônio Leal,1906,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3203,3203,,Cinemateca Brasileira (http://cinemateca.gov.br/),,29/08/2023 11:58:48
Dia da Independência,Festejos do dia da Independência.,Antônio Leal,1906,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3180,3180,,Cinemateca Brasileira (http://cinemateca.gov.br/); IMDb (http://www.imdb.com/),,29/08/2023 11:58:48
Baía de Guanabara,"Baía de Guanabara, Rio de Janeiro.",Antônio Leal,1907,,Rio de Janeiro,,http://documentariobrasileiro.com.br/catalogo/filme/codigo/3668,3668,,Cinemateca Brasileira (http://cinemateca.gov.br); IMDb (http://www.imdb.com/),,29/08/2023 11:58:48
